City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Westpunt,RU,2020-01-05 22:26:53,61.68,96.39,9.34,96,100,4.05,overcast clouds,0.0,0.0
53,Kaitangata,NZ,2020-01-05 22:28:03,-46.28,169.85,53.01,64,80,28.01,light rain,1.19,0.0
54,Faanui,PF,2020-01-05 22:28:03,-16.48,-151.75,81.57,75,37,9.42,scattered clouds,0.0,0.0
55,Yulara,AU,2020-01-05 22:28:03,-25.24,130.99,64.4,82,90,12.75,overcast clouds,0.0,0.0
56,Bathsheba,BB,2020-01-05 22:28:03,13.22,-59.52,75.2,88,40,4.7,light rain,0.0,0.0
57,Zhanatas,BB,2020-01-05 22:28:03,13.22,-59.52,75.2,88,40,4.7,light rain,0.0,0.0
58,Namibe,AO,2020-01-05 22:28:04,-15.19,12.15,73.89,90,79,11.88,broken clouds,0.0,0.0
59,Taolanaro,AO,2020-01-05 22:28:04,-15.19,12.15,73.89,90,79,11.88,broken clouds,0.0,0.0
60,Vestmanna,FO,2020-01-05 22:28:04,62.16,-7.17,46.4,93,100,13.87,light rain,0.0,0.0
61,Norman Wells,CA,2020-01-05 22:28:04,65.28,-126.83,-31.0,66,20,2.24,few clouds,0.0,0.0
62,Bonavista,CA,2020-01-05 22:28:05,48.65,-53.11,29.82,95,100,24.11,snow,0.0,1.69
63,Cape Coast,GH,2020-01-05 22:28:05,5.11,-1.24,82.0,54,0,9.86,clear sky,0.0,0.0
64,Illoqqortoormiut,GH,2020-01-05 22:28:05,5.11,-1.24,82.0,54,0,9.86,clear sky,0.0,0.0
65,Ahipara,NZ,2020-01-05 22:24:39,-35.17,173.16,66.99,100,100,1.99,light rain,0.63,0.0
66,Chokurdakh,RU,2020-01-05 22:28:05,70.62,147.9,-21.48,99,84,3.83,broken clouds,0.0,0.0
67,Mataura,NZ,2020-01-05 22:23:19,-46.19,168.86,50.0,76,87,25.99,light rain,1.56,0.0
68,Saldanha,PT,2020-01-05 22:28:06,41.42,-6.55,38.03,75,7,0.6,clear sky,0.0,0.0
69,Peniche,PT,2020-01-05 22:28:06,39.36,-9.38,53.01,81,0,2.24,clear sky,0.0,0.0
70,Hobart,AU,2020-01-05 22:23:36,-42.88,147.33,62.01,51,40,4.7,scattered clouds,0.0,0.0
71,Hilo,US,2020-01-05 22:23:24,19.71,-155.08,80.6,57,20,8.05,few clouds,0.0,0.0
72,Coihaique,CL,2020-01-05 22:25:30,-45.58,-72.07,57.2,66,75,4.7,light intensity shower rain,0.0,0.0
73,Las Vegas,US,2020-01-05 22:28:07,36.17,-115.15,59.0,38,1,4.7,clear sky,0.0,0.0
74,Shubarshi,KZ,2020-01-05 22:28:07,48.59,57.19,18.68,96,98,4.7,light snow,0.0,0.13
75,Geraldton,CA,2020-01-05 22:28:07,49.72,-86.95,15.8,78,90,9.17,light snow,0.0,0.0
76,Abu Jubayhah,CA,2020-01-05 22:28:07,49.72,-86.95,15.8,78,90,9.17,light snow,0.0,0.0
