City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
485,Rio Grande,BR,87.8,few clouds,-32.03,-52.1,Swan Express Rio Grande
488,Hualmay,PE,79.66,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
489,Ellisras,ZA,87.69,broken clouds,-23.67,27.74,Lapa le le guesthouse
493,Indramayu,ID,73.85,light rain,-4.05,103.78,Sugih Waras Enim
495,Sibu,MY,77,light rain,2.29,111.83,RH HOTEL (4 Star)
496,Lafia,NG,82.33,few clouds,8.5,8.51,Suites11
498,Moussoro,TD,70.9,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
501,Kampot,KH,75.2,few clouds,10.62,104.18,Champa Lodge
503,Banjarmasin,ID,75.2,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
504,Kathu,ZA,82,broken clouds,-27.7,23.05,Carlandre
505,Cidreira,BR,74.44,clear sky,-30.17,-50.22,Pond Country Club
507,Honiara,SB,75.2,few clouds,-9.43,159.96,Heritage Park Hotel
508,Porto Novo,BR,75.2,thunderstorm with light rain,-23.68,-45.44,Harmonia
509,Mazagao,BR,89.6,broken clouds,-0.12,-51.29,Casa Lima Santos
510,Afgoye,BR,89.6,broken clouds,-0.12,-51.29,Casa Lima Santos
514,Puerto Ayacucho,CO,91.4,clear sky,5.66,-67.63,Posada Turistica Manapiare
516,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
519,Auki,NG,72.93,scattered clouds,12.18,6.51,
521,Nome,US,73.99,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
529,Waingapu,ID,84.33,overcast clouds,-9.65,120.26,Pondok Wisata Elim
530,Port Hedland,AU,84.2,overcast clouds,-20.31,118.58,The Esplanade Hotel
533,San Policarpo,PH,79.05,light rain,12.18,125.51,Zal-Ann Beach Resort
540,Bata,GQ,78.06,light rain,1.87,9.77,Hotel Carmen
545,Banjar,ID,74.91,light rain,-7.37,108.54,Mandiri
546,Kiunga,PG,73.49,moderate rain,-6.12,141.3,"Outback Samagos, KIUNGA. WP"
553,Antalaha,MG,80.22,moderate rain,-14.9,50.28,Hotel Vitasoa
558,Eseka,CM,76.95,clear sky,3.65,10.77,Hotel Eseka Palace
559,Kalutara,LK,78.8,scattered clouds,6.58,79.96,Avani Kalutara Resort
560,Mocuba,MZ,76.23,light rain,-16.84,36.99,Phama Lodge
561,Pochutla,MX,89.6,scattered clouds,15.74,-96.47,Hotel Posada San Jose
566,Rosita,NI,86.58,clear sky,13.92,-84.4,Hotel El Chele Romero
568,Liwale,TZ,74.73,broken clouds,-9.8,37.92,Samoma Lodge
571,Maroantsetra,MG,71.04,moderate rain,-15.43,49.74,La Pagode
575,Boyolangu,ID,74.79,moderate rain,-8.09,111.9,Hotel Istana
579,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
580,Tual,ID,83.37,overcast clouds,-5.67,132.75,Grand Vilia Hotel
581,Hunza,ID,83.37,overcast clouds,-5.67,132.75,Grand Vilia Hotel
583,Tabou,CI,79.09,clear sky,4.42,-7.36,Hotel Les Rochers
585,Polonnaruwa,LK,74.16,few clouds,7.94,81,Thisara Guest House
586,Bertoua,CM,75.87,broken clouds,4.58,13.68,PHENIX HOTEL
587,Winneba,GH,80.6,haze,5.35,-0.62,Windy Lodge Beach Resort
592,Barra Patuca,HN,81.32,light rain,15.8,-84.28,
605,Carutapera,BR,82.47,light rain,-1.2,-46.02,Lidera
606,Urdzhar,BR,82.47,light rain,-1.2,-46.02,Lidera
607,Sinnamary,GF,80.4,light rain,5.38,-52.96,ALETHEIA Appartement Sinnamary
608,Quatre Cocos,MU,73.4,moderate rain,-20.21,57.76,Emeraude Beach Attitude Hotel
610,Bagotville,AU,71.6,overcast clouds,-28.98,153.42,Broadwater Sunrise Caravan Park
611,Wanlaweyn,SO,80.78,scattered clouds,2.62,44.89,Haji Qasim Hotel
615,La Palma,CO,81.03,light rain,5.36,-74.39,Balcones De Santa Luchia
616,Mongomo,GA,76.51,broken clouds,1.63,11.31,Mbon Ekua
617,Karamay,GA,76.51,broken clouds,1.63,11.31,Mbon Ekua
619,Kankon,IN,75.2,haze,15.02,74.02,Palolem Beach Resort
621,Bulawayo,ZW,77.05,light rain,-20.16,28.59,4 On Housman Backpackers
