City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Port Elizabeth,US,2020-01-05 19:26:09,39.31,-74.98,43.0,41,90,21.92,overcast clouds,0.0,0.0
54,Vaini,IN,2020-01-05 19:26:09,15.34,74.49,66.65,65,18,3.67,few clouds,0.0,0.0
55,San Patricio,PY,2020-01-05 19:26:09,-26.98,-56.83,98.76,24,19,3.47,few clouds,0.0,0.0
56,Grand River South East,PY,2020-01-05 19:26:09,-26.98,-56.83,98.76,24,19,3.47,few clouds,0.0,0.0
57,Hilo,US,2020-01-05 19:26:10,19.71,-155.08,73.4,78,90,8.05,moderate rain,0.0,0.0
58,Puerto Madryn,AR,2020-01-05 19:26:10,-42.77,-65.04,76.12,15,100,9.93,overcast clouds,0.0,0.0
59,Provideniya,RU,2020-01-05 19:26:10,64.42,-173.23,-9.22,92,93,7.36,overcast clouds,0.0,0.0
60,Teahupoo,PF,2020-01-05 19:26:10,-17.83,-149.27,84.2,74,20,4.7,few clouds,0.0,0.0
61,Ushuaia,AR,2020-01-05 19:26:11,-54.81,-68.31,51.8,76,75,32.21,shower rain,0.0,0.0
62,Dikson,RU,2020-01-05 19:26:11,73.51,80.55,16.48,92,90,20.78,light snow,0.0,0.25
63,Svetlogorsk,RU,2020-01-05 19:21:34,53.14,59.15,28.4,86,90,11.18,overcast clouds,0.0,0.0
64,San Joaquin,PH,2020-01-05 19:26:11,10.59,122.14,75.51,85,1,11.07,clear sky,0.0,0.0
65,Marsh Harbour,BS,2020-01-05 19:26:11,26.54,-77.06,66.54,69,64,24.02,broken clouds,0.0,0.0
66,Cherskiy,RU,2020-01-05 19:26:12,68.75,161.3,-6.81,61,77,4.81,broken clouds,0.0,0.0
67,Pevek,RU,2020-01-05 19:26:12,69.7,170.27,-6.63,82,0,5.12,clear sky,0.0,0.0
68,Hofn,IS,2020-01-05 19:26:12,64.25,-15.21,44.04,70,51,31.23,broken clouds,0.0,0.0
69,Sabang,PH,2020-01-05 19:26:12,13.8,121.11,79.0,75,5,10.0,clear sky,0.0,0.0
70,Rungata,PH,2020-01-05 19:26:12,13.8,121.11,79.0,75,5,10.0,clear sky,0.0,0.0
71,Saskylakh,RU,2020-01-05 19:26:12,71.97,114.09,-20.51,95,0,11.77,clear sky,0.0,0.0
72,Ribeira Grande,PT,2020-01-05 19:26:13,38.52,-28.7,64.4,88,75,16.11,broken clouds,0.0,0.0
73,Polson,US,2020-01-05 19:23:08,47.69,-114.16,37.4,55,75,9.17,broken clouds,0.0,0.0
